iso	name	eu	frauen_alle_ws	frauen	alter	vdb	dichte	eligible	wbrplus08	bevwachs
1	Innere Stadt	0.118707408	0.491316773	0.499534595	38.29369092	0.7734	2778.448276	3223	0.090598821	1.072916667
2	St Leonhard	0.09776798	0.517442822	0.525523013	38.00225958	0.783	7183.060109	13145	0.096995055	1.15452612
3	Geidorf	0.085506325	0.53664052	0.549932287	38.92724896	0.7652	3624.909091	19937	0.08090485	1.126157804
4	Lend	0.102035885	0.504893373	0.522790519	38.04289253	0.6279	5632.972973	20842	0.093561079	1.119981541
5	Gries	0.110309629	0.479380742	0.501548511	38.11224906	0.6138	3516.633663	17759	0.014865702	1.109836688
6	Jakomini	0.095319714	0.496226467	0.517446116	37.94705996	0.6797	6056.650246	24590	0.055591704	1.123908619
7	Liebenau	0.060593339	0.51777218	0.523183926	41.99286314	0.5373	1295.619524	10352	0.045015456	1.046989499
8	St.Peter	0.062791872	0.526631327	0.533637874	41.51224284	0.688	1358.916479	12040	0.04576412	1.05007525
9	Waltendorf	0.067976633	0.524618769	0.53406326	42.866171	0.7098	2201.785714	9864	0.039030819	1.008071975
10	Ries	0.07318175	0.548561964	0.544925125	42.90483361	0.6737	473.2283465	4808	0.024126456	0.987898203
11	Mariatrost	0.083145646	0.526182432	0.528360215	39.3696509	0.7012	531.8084346	7440	0.085887097	1.118210515
12	Andritz	0.056035782	0.51904714	0.528091389	42.0195497	0.6625	810.4493774	14969	0.050504376	1.035958347
13	Gösting	0.074722607	0.51074896	0.526322515	40.14233703	0.5441	722.6223453	7826	0.020444672	1.081680609
14	Eggenberg	0.064141341	0.521772529	0.537808219	40.28493927	0.5916	1874.197689	14600	0.042123288	1.082375479
15	Wetzelsdorf	0.05470431	0.536350003	0.54966658	42.77198931	0.5247	2001.213172	11547	0.028232441	1.115603371
16	Straßgang	0.057457054	0.515291515	0.519194964	42.02524727	0.5296	959.9148936	11279	0.064012767	1.046003286
17	Puntigam	0.098041677	0.477780567	0.507879656	40.68892794	0.4969	903.5598706	5584	0.051575931	1.024476514
