iso	name	eu	frauen_alle_ws	frauen	alter	vdb	dichte	wbrplus12	bevwachs	spoe_2012	oevp_2012	fpoe_2012	gruene_2012	kpoe_2012	piraten_2012
1	Innere Stadt	0.154516472	0.479489904	1	37.7477152	0.7734	2934.482759	0.056158858	0.056263858	0.103754266	0.307849829	0.107849829	0.165187713	0.239590444	0.049829352
2	St Leonhard	0.127376629	0.513298441	1	37.88698996	0.783	7612.021858	0.059718524	0.103691467	0.102305476	0.343099584	0.091098303	0.187159782	0.212776177	0.041306436
3	Geidorf	0.11125615	0.537436824	1	38.41881715	0.7652	3869.454545	0.067462507	0.080429506	0.109198382	0.356216945	0.096961526	0.174219641	0.2057451	0.034221715
4	Lend	0.144609991	0.50204499	1	38.06450482	0.6279	5865.135135	0.041214855	0.069851819	0.192427926	0.254949635	0.161745977	0.110455019	0.233877504	0.025703369
5	Gries	0.168452209	0.46668597	1	37.71296207	0.6138	3802.574257	0.081310885	0.057350653	0.170476911	0.256472369	0.155488266	0.103860712	0.262074186	0.030734292
6	Jakomini	0.133263158	0.492789474	1	37.74934211	0.6797	6474.630542	0.069011793	0.071169367	0.149142857	0.272571429	0.133714286	0.131428571	0.256761905	0.032761905
7	Liebenau	0.114676212	0.515652457	1	41.54936544	0.5373	1409.637046	0.088002318	0.02182408	0.203531422	0.350294285	0.17619138	0.061515094	0.168407063	0.017277388
8	St.Peter	0.085947072	0.524810096	1	42.34838275	0.688	1406.772009	0.035215947	0.024973291	0.126427034	0.375627895	0.121730054	0.148346272	0.178289517	0.024463435
9	Waltendorf	0.088810081	0.524334113	1	43.70112427	0.7098	2224.553571	0.010340633	-0.001748543	0.101877672	0.427402863	0.129020264	0.125116193	0.167689162	0.025097602
10	Ries	0.090253239	0.546672556	1	43.27694346	0.6737	485.6299213	0.026206323	-0.010516934	0.124901807	0.410054988	0.109190888	0.128043991	0.171249018	0.026708562
11	Mariatrost	0.096564955	0.527589987	1	40.09683903	0.7012	553.5382416	0.040860215	0.065774458	0.090535973	0.459681313	0.09464027	0.14365041	0.162723322	0.027522936
12	Andritz	0.074935401	0.521086246	1	42.80868802	0.6625	839.5235517	0.03587414	0.011223463	0.174033788	0.367391807	0.113978246	0.11351539	0.175769498	0.023605647
13	Gösting	0.12926577	0.513960703	1	40.68700448	0.5441	745.7987073	0.032072579	0.041259501	0.208613728	0.303095559	0.184656797	0.069448183	0.180080754	0.019380888
14	Eggenberg	0.107597536	0.517271275	1	40.13853525	0.5916	2009.884467	0.07239726	0.045704591	0.173631548	0.302678046	0.180400235	0.093584461	0.197174809	0.026486168
15	Wetzelsdorf	0.088366062	0.533530937	1	43.0168581	0.5247	2149.566724	0.074131809	0.061070195	0.19946714	0.306039076	0.187566607	0.064120782	0.20071048	0.01616341
16	Straßgang	0.100928903	0.515064904	1	41.72996308	0.5296	1058.723404	0.102934657	0.02027592	0.202609769	0.336095927	0.177393758	0.058719803	0.180920473	0.017633574
17	Puntigam	0.152071718	0.486061004	1	39.86979337	0.4969	1067.152104	0.181053009	0.010607118	0.18883792	0.31116208	0.209862385	0.069189602	0.163990826	0.022553517
